"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","481","Remove an Item from Cart and Validate","chromium","Sat Jul 05 23:53:29 GMT 2025","passed","Sat Jul 05 23:53:30 GMT 2025","Main Page","main.spec.ts","",""
"","36","Mock products list API","chromium","Sat Jul 05 23:53:21 GMT 2025","passed","Sat Jul 05 23:53:21 GMT 2025","","api.spec.ts","",""
"","5672","Checkout flow","chromium","Sat Jul 05 23:53:36 GMT 2025","passed","Sat Jul 05 23:53:41 GMT 2025","Main Page","main.spec.ts","",""
"","495","View cart (empty)","chromium","Sat Jul 05 23:53:30 GMT 2025","passed","Sat Jul 05 23:53:30 GMT 2025","Main Page","main.spec.ts","",""
"","1081","Login Tests","chromium","Sat Jul 05 23:53:21 GMT 2025","passed","Sat Jul 05 23:53:22 GMT 2025","Main Page","main.spec.ts","",""
"","411","Validate broken products image","chromium","Sat Jul 05 23:53:22 GMT 2025","passed","Sat Jul 05 23:53:23 GMT 2025","Main Page","main.spec.ts","",""
"","59","Mock login API","chromium","Sat Jul 05 23:53:20 GMT 2025","passed","Sat Jul 05 23:53:20 GMT 2025","","api.spec.ts","",""
"","518","Add Multiple Items to Cart and Validate","chromium","Sat Jul 05 23:53:29 GMT 2025","passed","Sat Jul 05 23:53:29 GMT 2025","Main Page","main.spec.ts","",""
"","434","Add Single Item to Cart and Validate","chromium","Sat Jul 05 23:53:28 GMT 2025","passed","Sat Jul 05 23:53:29 GMT 2025","Main Page","main.spec.ts","",""
"","5567","Checkout with empty cart","chromium","Sat Jul 05 23:53:30 GMT 2025","passed","Sat Jul 05 23:53:36 GMT 2025","Main Page","main.spec.ts","",""
"","5383","Performance glitch user","chromium","Sat Jul 05 23:53:23 GMT 2025","passed","Sat Jul 05 23:53:28 GMT 2025","Main Page","main.spec.ts","",""
"","434","Product page validation","chromium","Sat Jul 05 23:53:22 GMT 2025","passed","Sat Jul 05 23:53:22 GMT 2025","Main Page","main.spec.ts","",""
"","1333","Logout flow","chromium","Sat Jul 05 23:53:41 GMT 2025","passed","Sat Jul 05 23:53:43 GMT 2025","Main Page","main.spec.ts","",""
