"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5488","Performance glitch user","chromium","Fri Oct 03 11:03:04 UTC 2025","passed","Fri Oct 03 11:03:10 UTC 2025","Main Page","main.spec.ts","",""
"","471","Validate broken products image","chromium","Fri Oct 03 11:03:04 UTC 2025","passed","Fri Oct 03 11:03:04 UTC 2025","Main Page","main.spec.ts","",""
"","585","Add Multiple Items to Cart and Validate","chromium","Fri Oct 03 11:03:10 UTC 2025","passed","Fri Oct 03 11:03:11 UTC 2025","Main Page","main.spec.ts","",""
"","598","Remove an Item from Cart and Validate","chromium","Fri Oct 03 11:03:11 UTC 2025","passed","Fri Oct 03 11:03:11 UTC 2025","Main Page","main.spec.ts","",""
"","1283","Login Tests","chromium","Fri Oct 03 11:03:02 UTC 2025","passed","Fri Oct 03 11:03:03 UTC 2025","Main Page","main.spec.ts","",""
"","580","View cart (empty)","chromium","Fri Oct 03 11:03:11 UTC 2025","passed","Fri Oct 03 11:03:12 UTC 2025","Main Page","main.spec.ts","",""
"","5680","Checkout with empty cart","chromium","Fri Oct 03 11:03:12 UTC 2025","passed","Fri Oct 03 11:03:17 UTC 2025","Main Page","main.spec.ts","",""
"","67","Mock login API","chromium","Fri Oct 03 11:03:01 UTC 2025","passed","Fri Oct 03 11:03:01 UTC 2025","","api.spec.ts","",""
"","5773","Checkout flow","chromium","Fri Oct 03 11:03:17 UTC 2025","passed","Fri Oct 03 11:03:23 UTC 2025","Main Page","main.spec.ts","",""
"","502","Add Single Item to Cart and Validate","chromium","Fri Oct 03 11:03:10 UTC 2025","passed","Fri Oct 03 11:03:10 UTC 2025","Main Page","main.spec.ts","",""
"","1402","Logout flow","chromium","Fri Oct 03 11:03:23 UTC 2025","passed","Fri Oct 03 11:03:25 UTC 2025","Main Page","main.spec.ts","",""
"","38","Mock products list API","chromium","Fri Oct 03 11:03:02 UTC 2025","passed","Fri Oct 03 11:03:02 UTC 2025","","api.spec.ts","",""
"","533","Product page validation","chromium","Fri Oct 03 11:03:03 UTC 2025","passed","Fri Oct 03 11:03:04 UTC 2025","Main Page","main.spec.ts","",""
